Unnamed: 0,Well,Site,GT_label,GT_Cell_id,Unique_ID,GT_x,GT_y,GT_colorR,GT_colorG,GT_colorB,GT_Shape,GT_dist_toInit_state,GT_initial_state,PositionOnRegressionPlaneX,PositionOnRegressionPlaneY,CP_ImagerNumber,CP_ObjectNumber,CP_x,CP_y,VAE_x_coord,VAE_y_coord,VAE_z_coord
500,A02,6,1,6,CellProcess_1_A02_06_id6.tiff,879,912,0.4686,0.975337,0.493263,0.376684,0.4933727269813765,green,0.024663,0.4686,122,33,870.0,911.0,3.0822706,1.4211265,1.1053162
503,A02,6,1,9,CellProcess_1_A02_06_id9.tiff,687,580,0.419756,0.977908,0.441849,0.389538,0.4419465538757201,green,0.022092,0.419756,122,19,679.0,575.0,3.349959,1.4757364,1.0284564
539,A02,7,1,11,CellProcess_1_A02_07_id11.tiff,851,639,0.682887,0.964059,0.718828,0.320293,0.7189880846465558,green,0.035941,0.682887,146,22,843.0,643.0,0.0967642,0.088666655,3.7293139
582,A02,8,1,18,CellProcess_1_A02_08_id18.tiff,898,846,0.99552,0.085111,0.08959,0.022398,0.08961045492009642,red,0.914889,0.99552,170,34,898.0,845.0,-3.9363,-2.7726808,0.80563265
568,A02,8,1,3,CellProcess_1_A02_08_id3.tiff,690,489,0.992396,0.144485,0.152089,0.038022,0.15212323400084973,red,0.8555149999999999,0.992396,170,19,690.0,488.0,-3.8167515,-1.6608111,0.24657977
596,A02,8,1,32,CellProcess_1_A02_08_id32.tiff,69,557,0.956177,0.8326309999999999,0.876453,0.219113,0.8766484047838823,red,0.16736900000000002,0.956177,170,21,66.0,559.0,-0.37408033,2.4874146,1.1056516
657,A03,1,1,22,CellProcess_1_A03_01_id22.tiff,601,879,0.585449,0.969187,0.616262,0.345935,0.6163990013251623,green,0.030813,0.585449,3,36,606.0,874.0,2.7632282,1.8275174,0.8498999
645,A03,1,1,9,CellProcess_1_A03_01_id9.tiff,699,492,0.032389,0.998295,0.034093,0.4914770000000001,0.03410127553352541,green,0.001705,0.032389,3,23,701.0,502.0,0.4957472,-3.817112,2.0881715
701,A03,2,1,38,CellProcess_1_A03_02_id38.tiff,765,831,0.953547,0.8826,0.929053,0.232263,0.9292590398531252,red,0.1174,0.953547,27,29,766.0,839.0,-0.7150414,3.3478334,1.9140325
3432,A03,3,1,14,CellProcess_1_A03_03_id14.tiff,849,63,0.989563,0.198301,0.208738,0.052185,0.20878427142384706,red,0.8016989999999999,0.989563,51,2,850.0,62.0,-3.4321508,-0.5315089,-0.06895379
3441,A03,3,1,25,CellProcess_1_A03_03_id25.tiff,206,146,0.977098,0.435129,0.45803,0.114508,0.4581323034179323,red,0.564871,0.977098,51,5,207.0,146.0,-2.312742,1.8481537,-0.028381802
726,A03,4,1,26,CellProcess_1_A03_04_id26.tiff,897,585,0.997239,0.05245,0.05521,0.013803,0.05522281744567145,red,0.94755,0.997239,75,19,897.0,584.0,-3.0394096,-3.6147463,-0.34678844
733,A03,4,1,35,CellProcess_1_A03_04_id35.tiff,593,534,0.978507,0.408367,0.42986,0.107465,0.42995549287742096,red,0.591633,0.978507,75,18,593.0,535.0,-2.2411668,-0.15235133,0.20003387
763,A03,5,1,28,CellProcess_1_A03_05_id28.tiff,751,41,0.981393,0.353542,0.372149,0.093037,0.3722321200623549,red,0.646458,0.981393,99,2,751.0,40.0,-2.8478038,0.47048432,-0.31911707
838,A03,7,1,35,CellProcess_1_A03_07_id35.tiff,301,530,0.975468,0.46611,0.490642,0.12266,0.4907510949945884,red,0.53389,0.975468,147,19,302.0,531.0,-2.166484,0.84589237,0.43818173
855,A03,8,1,13,CellProcess_1_A03_08_id13.tiff,750,469,0.989653,0.196593,0.20694,0.051735,0.20698597146990533,red,0.803407,0.989653,171,20,750.0,469.0,-4.295909,-0.35626966,-0.00037867576
896,A03,9,1,18,CellProcess_1_A03_09_id18.tiff,187,469,0.988406,0.220288,0.231882,0.057970000000000015,0.23193361177457375,red,0.779712,0.988406,195,17,187.0,469.0,-3.1845138,-1.0661136,0.7426584
911,A03,9,1,38,CellProcess_1_A03_09_id38.tiff,620,44,0.431543,0.977287,0.4542560000000001,0.386436,0.4543567134800615,green,0.022713,0.431543,195,1,617.0,45.0,0.49684706,-0.74021685,1.4320476
1231,A05,1,1,28,CellProcess_1_A05_01_id28.tiff,343,601,0.45464,0.976072,0.478569,0.380358,0.4786747111791481,green,0.023928,0.45464,5,21,335.0,605.0,2.7628024,0.6602236,3.817647
1253,A05,2,1,13,CellProcess_1_A05_02_id13.tiff,676,781,0.835374,0.956033,0.879341,0.280165,0.8795363942709891,green,0.043967,0.835374,29,35,682.0,781.0,-0.7552972,0.5809697,1.5418044
1265,A05,2,1,26,CellProcess_1_A05_02_id26.tiff,88,808,0.969507,0.579367,0.6098600000000001,0.15246500000000002,0.6099954796590145,red,0.420633,0.969507,29,36,84.0,806.0,-1.4420773,2.854775,-0.5202191
1267,A05,2,1,28,CellProcess_1_A05_02_id28.tiff,465,117,0.401826,0.978851,0.422975,0.394256,0.4230687147091004,green,0.021149,0.401826,29,7,462.0,117.0,2.1831584,0.32399225,2.1696568
1279,A05,3,1,2,CellProcess_1_A05_03_id2.tiff,362,825,0.991768,0.156412,0.164644,0.041161,0.16468077440418635,red,0.8435879999999999,0.991768,53,27,361.0,825.0,-3.3934433,-1.4825774,-0.70882404
1285,A05,3,1,8,CellProcess_1_A05_03_id8.tiff,632,170,0.990296,0.184376,0.19408,0.04852,0.1941231146365092,red,0.815624,0.990296,53,3,632.0,169.0,-3.3540692,-1.1512929,-0.45669177
1315,A05,4,1,13,CellProcess_1_A05_04_id13.tiff,729,408,0.994743,0.099882,0.105139,0.026285000000000003,0.10516230676648908,red,0.900118,0.994743,77,17,729.0,408.0,-3.3047655,-2.7709215,1.0136802
1318,A05,4,1,16,CellProcess_1_A05_04_id16.tiff,102,408,0.102792,0.99459,0.108202,0.47295,0.10822613641267337,green,0.00541,0.102792,77,16,96.0,413.0,2.4454372,-1.426943,2.3214664
1322,A05,4,1,20,CellProcess_1_A05_04_id20.tiff,575,790,0.884239,0.953461,0.930778,0.267306,0.9309846717337228,green,0.046539,0.884239,77,30,575.0,792.0,1.6878343,1.5293998,0.61308503
1325,A05,4,1,25,CellProcess_1_A05_04_id25.tiff,307,847,0.492867,0.97406,0.518807,0.370298,0.5189226004893105,green,0.02594,0.492867,77,31,302.0,835.0,1.376949,0.08231793,0.93595594
1332,A05,4,1,34,CellProcess_1_A05_04_id34.tiff,408,286,0.242186,0.987253,0.254932,0.436267,0.25498928491329464,green,0.012747,0.242186,77,11,400.0,276.0,3.241103,-0.122207776,2.626057
1369,A05,5,1,37,CellProcess_1_A05_05_id37.tiff,795,708,0.955543,0.844686,0.889143,0.222286,0.8893406712430153,red,0.155314,0.955543,101,28,800.0,708.0,-0.3953351,0.75711983,1.0384976
1379,A05,7,1,9,CellProcess_1_A05_07_id9.tiff,714,373,0.977416,0.429096,0.45168,0.11292,0.4517803401639453,red,0.570904,0.977416,149,14,714.0,370.0,-2.295461,1.7263392,-0.2718941
1413,A05,8,1,8,CellProcess_1_A05_08_id8.tiff,553,726,0.977296,0.431378,0.454082,0.113521,0.4541829732349501,red,0.5686220000000001,0.977296,173,23,555.0,726.0,-2.2209036,0.6864512,0.42884192
1466,A05,9,1,29,CellProcess_1_A05_09_id29.tiff,97,329,0.950487,0.940742,0.990254,0.247564,0.9904747352727284,red,0.05925800000000001,0.950487,197,11,100.0,331.0,-0.80264795,1.4847472,1.6506793
1474,A05,9,1,38,CellProcess_1_A05_09_id38.tiff,376,370,0.998499,0.028523000000000007,0.030025,0.007506,0.030030868735195167,red,0.971477,0.998499,197,13,376.0,370.0,-3.1671245,-4.296226,0.41437456
1487,A06,1,1,13,CellProcess_1_A06_01_id13.tiff,86,911,0.95476,0.859558,0.904798,0.2262,0.9049989003082464,red,0.140442,0.95476,6,36,88.0,913.0,-0.9058478,1.2052435,1.1670797
1488,A06,1,1,14,CellProcess_1_A06_01_id14.tiff,585,445,0.971749,0.536778,0.565029,0.141257,0.5651549681202067,red,0.463222,0.971749,6,17,584.0,448.0,-2.2559407,1.5167298,0.5943011
1492,A06,1,1,18,CellProcess_1_A06_01_id18.tiff,148,735,0.989863,0.192612,0.202749,0.050687,0.20279448805817726,red,0.807388,0.989863,6,28,147.0,735.0,-4.233142,-0.08920999,-0.7025152
1478,A06,1,1,2,CellProcess_1_A06_01_id2.tiff,520,188,0.993993,0.11413,0.120136,0.030034,0.1201635390844848,red,0.88587,0.993993,6,6,519.0,187.0,-3.9438045,-2.31193,0.570542
1497,A06,1,1,24,CellProcess_1_A06_01_id24.tiff,680,386,0.955279,0.8496959999999999,0.894417,0.223604,0.8946155444468982,red,0.150304,0.955279,6,13,682.0,382.0,-0.0022734702,1.6352059,0.8936772
1509,A06,1,1,36,CellProcess_1_A06_01_id36.tiff,163,445,0.963074,0.701585,0.73851,0.184628,0.7386746117095039,red,0.298415,0.963074,6,16,160.0,444.0,0.06569887,3.0805514,0.50367254
1511,A06,1,1,39,CellProcess_1_A06_01_id39.tiff,246,397,0.122202,0.993568,0.128634,0.467842,0.12866227747862874,green,0.006431999999999999,0.122202,6,14,253.0,402.0,1.2552243,-1.800916,1.6048024
1480,A06,1,1,4,CellProcess_1_A06_01_id4.tiff,363,89,0.679125,0.964257,0.714869,0.321283,0.7150272049373614,green,0.035743000000000004,0.679125,6,2,361.0,89.0,-0.09052492,2.6359737,1.6403518
1525,A06,2,1,14,CellProcess_1_A06_02_id14.tiff,293,322,0.966788,0.631035,0.664247,0.166062,0.6643949098088064,red,0.368965,0.966788,30,8,289.0,319.0,-0.6725165,3.9287534,0.082777776
1532,A06,2,1,23,CellProcess_1_A06_02_id23.tiff,525,769,0.988501,0.218489,0.229989,0.057497,0.23003948943398825,red,0.781511,0.988501,30,27,525.0,769.0,-3.5446332,-0.4653046,-0.63478583
1520,A06,2,1,9,CellProcess_1_A06_02_id9.tiff,109,412,0.977883,0.420218,0.442335,0.110584,0.4424330155096056,red,0.579782,0.977883,30,14,108.0,414.0,-3.8818924,1.8019089,1.1292813
1566,A06,3,1,23,CellProcess_1_A06_03_id23.tiff,365,496,0.008253,0.999566,0.008688,0.497828,0.008689277958740606,green,0.000434,0.008253,54,17,353.0,492.0,2.9717069,-2.7407925,2.5595407
1569,A06,3,1,27,CellProcess_1_A06_03_id27.tiff,656,92,0.924656,0.951334,0.973322,0.25667,0.9735383217709128,green,0.048666,0.924656,54,2,653.0,93.0,-0.22421515,2.9341788,2.687758
1554,A06,3,1,7,CellProcess_1_A06_03_id7.tiff,542,475,0.950072,0.948631,0.998559,0.24964,0.9987807789354276,red,0.051369000000000005,0.950072,54,16,538.0,472.0,-0.26829374,2.612953,1.0063848
1597,A06,4,1,27,CellProcess_1_A06_04_id27.tiff,646,306,0.5821770000000001,0.969359,0.612818,0.346796,0.6129540373055293,green,0.030641,0.5821770000000001,78,11,644.0,315.0,1.7581204,0.6629633,3.2753475
1601,A06,4,1,32,CellProcess_1_A06_04_id32.tiff,54,599,0.097552,0.994866,0.102686,0.474328,0.10270910997965696,green,0.0051340000000000005,0.097552,78,22,52.0,584.0,2.5043108,-1.9711212,1.2747507
1605,A06,4,1,36,CellProcess_1_A06_04_id36.tiff,602,366,0.878128,0.953783,0.924345,0.268914,0.9245505907942342,green,0.046217,0.878128,78,14,602.0,363.0,-0.17085955,1.512299,1.0855978
1608,A06,4,1,39,CellProcess_1_A06_04_id39.tiff,377,225,0.963502,0.693463,0.729961,0.18249,0.7301232096852425,red,0.306537,0.963502,78,8,377.0,220.0,-0.65246534,4.494712,1.0315006
1610,A06,5,1,1,CellProcess_1_A06_05_id1.tiff,353,833,0.396564,0.979128,0.4174350000000001,0.395641,0.4175285339617424,green,0.020872,0.396564,102,29,347.0,832.0,2.5907948,0.3033287,1.9657085
1625,A06,5,1,18,CellProcess_1_A06_05_id18.tiff,739,532,0.408459,0.978502,0.429957,0.392511,0.4300523652214763,green,0.021498,0.408459,102,20,741.0,535.0,-0.58353597,-0.659093,1.4659919
1633,A06,5,1,26,CellProcess_1_A06_05_id26.tiff,221,558,0.966174,0.642692,0.6765180000000001,0.169129,0.6766681881832368,red,0.357308,0.966174,102,22,219.0,563.0,-1.7060418,0.87999207,0.89650685
1667,A06,6,1,26,CellProcess_1_A06_06_id26.tiff,373,45,0.964455,0.675347,0.710892,0.177723,0.7110495259169389,red,0.324653,0.964455,126,2,372.0,40.0,-0.44135782,2.8065758,1.1030277
1645,A06,6,1,3,CellProcess_1_A06_06_id3.tiff,586,532,0.093779,0.995064,0.098714,0.475321,0.09873668074384394,green,0.004936,0.093779,126,22,590.0,520.0,1.5528895,-2.1460278,1.7134762
1646,A06,6,1,4,CellProcess_1_A06_06_id4.tiff,582,38,0.391886,0.979374,0.412511,0.396872,0.4126032411620835,green,0.020626,0.391886,126,1,575.0,35.0,2.7843802,0.6653613,1.4601338
1680,A06,7,1,1,CellProcess_1_A06_07_id1.tiff,914,854,0.130354,0.993139,0.137215,0.465696,0.13724523347202075,green,0.006861,0.130354,150,33,908.0,839.0,1.4262129,-1.6873392,1.3128874
1688,A06,7,1,11,CellProcess_1_A06_07_id11.tiff,861,152,0.502207,0.973568,0.528638,0.36784,0.5287563867776155,green,0.026432,0.502207,150,4,861.0,157.0,-0.101394795,0.33882546,1.5053555
1707,A06,7,1,33,CellProcess_1_A06_07_id33.tiff,101,801,0.970817,0.554473,0.583655,0.14591400000000002,0.5837854595330395,red,0.4455270000000001,0.970817,150,30,102.0,802.0,-1.987074,1.9587955,0.24149114
1715,A06,8,1,1,CellProcess_1_A06_08_id1.tiff,520,465,0.230623,0.987862,0.242761,0.43931,0.2428149787964005,green,0.012138,0.230623,174,19,518.0,465.0,0.77952874,-0.9339706,2.244656
1730,A06,8,1,18,CellProcess_1_A06_08_id18.tiff,646,398,0.084367,0.99556,0.08880700000000001,0.477798,0.08882707651175742,green,0.00444,0.084367,174,16,629.0,416.0,2.8415093,-1.0196515,3.6152415
1740,A06,8,1,28,CellProcess_1_A06_08_id28.tiff,181,806,0.366534,0.980709,0.385826,0.403544,0.3859109592297156,green,0.019291,0.366534,174,34,182.0,799.0,1.5928549,0.23428334,1.096831
1744,A06,8,1,32,CellProcess_1_A06_08_id32.tiff,849,562,0.321959,0.983055,0.338904,0.415274,0.33897948605166817,green,0.016944999999999998,0.321959,174,23,846.0,553.0,1.489952,-0.8555819,0.92831177
1748,A06,8,1,36,CellProcess_1_A06_08_id36.tiff,170,217,0.954688,0.860936,0.906249,0.226562,0.906449719772118,red,0.13906400000000002,0.954688,174,11,174.0,220.0,-0.9159806,0.18702258,0.8293684
1749,A06,8,1,37,CellProcess_1_A06_08_id37.tiff,715,46,0.04255,0.997761,0.044789,0.488803,0.04479939743799189,green,0.002239,0.04255,174,1,725.0,46.0,1.4641061,-2.4984133,2.0641887
1763,A06,9,1,12,CellProcess_1_A06_09_id12.tiff,334,908,0.961983,0.722321,0.760338,0.190084,0.7605068086945311,red,0.277679,0.961983,198,37,334.0,908.0,-1.7538809,0.90335655,0.46946552
1765,A06,9,1,14,CellProcess_1_A06_09_id14.tiff,373,454,0.991836,0.155115,0.163279,0.04082,0.16331522249693858,red,0.844885,0.991836,198,16,372.0,454.0,-4.1490226,-1.5185472,-0.04997588
1770,A06,9,1,20,CellProcess_1_A06_09_id20.tiff,663,635,0.274585,0.985548,0.289037,0.427741,0.2891010600144798,green,0.014452,0.274585,198,30,657.0,642.0,1.1086856,-0.839426,2.2471457
1771,A06,9,1,21,CellProcess_1_A06_09_id21.tiff,410,589,0.967931,0.609306,0.641375,0.160344,0.6415172320040697,red,0.390694,0.967931,198,27,408.0,590.0,-3.1156723,2.018683,1.783335
1785,A06,9,1,36,CellProcess_1_A06_09_id36.tiff,766,182,0.999448,0.010492,0.011044,0.002761,0.011046652352623063,red,0.989508,0.999448,198,7,765.0,181.0,-3.126403,-4.9372344,0.32996246
1788,A06,9,1,39,CellProcess_1_A06_09_id39.tiff,183,156,0.978276,0.4127560000000001,0.43448,0.10862,0.4345765192048152,red,0.587244,0.978276,198,5,186.0,155.0,-1.7620171,2.9041283,-0.16576713
2088,B02,1,1,33,CellProcess_1_B02_01_id33.tiff,665,816,0.994296,0.108372,0.114076,0.028519,0.11410114290598575,red,0.8916280000000001,0.994296,8,28,664.0,816.0,-3.767606,-2.5376174,0.9549013
2112,B02,2,1,23,CellProcess_1_B02_02_id23.tiff,642,673,0.992883,0.135231,0.142348,0.035587,0.14238002031458946,red,0.864769,0.992883,32,22,642.0,672.0,-3.828429,-1.9291474,0.3615663
2113,B02,2,1,24,CellProcess_1_B02_02_id24.tiff,104,494,0.952676,0.8991549999999999,0.946478,0.23662,0.9466892094266198,red,0.100845,0.952676,32,15,103.0,501.0,-1.2172945,0.8485139,2.0862021
2146,B02,3,1,26,CellProcess_1_B02_03_id26.tiff,125,360,0.731792,0.961485,0.770307,0.307423,0.7704784709091008,green,0.038515,0.731792,56,14,129.0,355.0,0.4446186,0.7556967,0.77486295
2151,B02,3,1,31,CellProcess_1_B02_03_id31.tiff,191,83,0.953862,0.8766299999999999,0.922769,0.230692,0.9229733896700713,red,0.12337,0.953862,56,3,188.0,85.0,-1.7125062,0.8811892,2.4434326
2128,B02,3,1,4,CellProcess_1_B02_03_id4.tiff,223,232,0.246757,0.987013,0.25974400000000003,0.435064,0.2598019007537405,green,0.012987,0.246757,56,10,217.0,240.0,1.4899123,-0.30466223,3.3799329
2182,B02,4,1,29,CellProcess_1_B02_04_id29.tiff,575,552,0.8002729999999999,0.95788,0.8423930000000001,0.289402,0.8425797884392838,green,0.04212,0.8002729999999999,80,19,579.0,559.0,0.2658865,1.2285101,2.3484967
2185,B02,4,1,32,CellProcess_1_B02_04_id32.tiff,55,398,0.998867,0.02153,0.022663,0.005666,0.022668183762966497,red,0.97847,0.998867,80,12,54.0,397.0,-3.1149542,-4.544405,0.8472478
2187,B02,4,1,35,CellProcess_1_B02_04_id35.tiff,480,224,0.962249,0.71727,0.755021,0.188755,0.7551887767338356,red,0.28273000000000004,0.962249,80,7,477.0,222.0,-0.43331364,4.0525107,-0.6005955
2223,B02,5,1,37,CellProcess_1_B02_05_id37.tiff,817,812,0.6257659999999999,0.967065,0.658701,0.335325,0.6588473793627075,green,0.032935,0.6257659999999999,104,32,814.0,819.0,1.3717057,2.4014256,1.4142797
2241,B02,6,1,16,CellProcess_1_B02_06_id16.tiff,104,653,0.128715,0.993226,0.13549,0.466128,0.1355195463310912,green,0.006774,0.128715,128,27,108.0,662.0,1.6964344,-1.8681695,1.4481456
2250,B02,6,1,25,CellProcess_1_B02_06_id25.tiff,473,586,0.708134,0.96273,0.745404,0.313649,0.7455697895333943,green,0.03727,0.708134,128,24,465.0,582.0,0.49717316,0.75453234,1.5986322
2276,B02,7,1,15,CellProcess_1_B02_07_id15.tiff,859,280,0.913361,0.951928,0.961433,0.259642,0.9616462330308336,green,0.048072,0.913361,152,4,854.0,274.0,2.2671487,2.5758858,1.9491701
2279,B02,7,1,19,CellProcess_1_B02_07_id19.tiff,124,268,0.963034,0.702353,0.739319,0.18483,0.7394831890839819,red,0.297647,0.963034,152,3,124.0,263.0,-0.8121989,1.6433787,0.49605992
2321,B02,8,1,30,CellProcess_1_B02_08_id30.tiff,169,263,0.8559899999999999,0.954948,0.901042,0.27474,0.9012422648566156,green,0.045052,0.8559899999999999,176,10,172.0,260.0,-1.6358306,2.209589,2.556149
2299,B02,8,1,5,CellProcess_1_B02_08_id5.tiff,164,524,0.452821,0.976167,0.476654,0.380836,0.47675958969904,green,0.023833,0.452821,176,18,160.0,525.0,1.3717016,0.5347406,1.3265318
2300,B02,8,1,6,CellProcess_1_B02_08_id6.tiff,229,576,0.989163,0.205898,0.216735,0.054184,0.21678289874343148,red,0.7941020000000001,0.989163,176,21,229.0,576.0,-3.588181,-0.5708122,-0.7141202
2352,B02,9,1,28,CellProcess_1_B02_09_id28.tiff,861,612,0.871533,0.95413,0.917403,0.270649,0.917606949167725,green,0.04587,0.871533,200,26,872.0,605.0,0.6292444,0.9538197,0.7762503
2953,B05,1,1,11,CellProcess_1_B05_01_id11.tiff,86,867,0.998346,0.031433,0.033087,0.008272,0.033094698382784844,red,0.968567,0.998346,11,30,86.0,867.0,-2.8583798,-4.1050634,-0.41297296
2954,B05,1,1,12,CellProcess_1_B05_01_id12.tiff,746,662,0.62132,0.967299,0.654021,0.336495,0.6541663397063862,green,0.032701,0.62132,11,21,754.0,655.0,-1.5658628,-0.4745201,2.6511285
2955,B05,1,1,13,CellProcess_1_B05_01_id13.tiff,357,594,0.967678,0.614119,0.6464409999999999,0.16161,0.6465846558185836,red,0.385881,0.967678,11,17,357.0,596.0,-1.2200671,3.140455,0.22383264
2956,B05,1,1,14,CellProcess_1_B05_01_id14.tiff,297,239,0.194861,0.989744,0.205117,0.448721,0.2051624172883253,green,0.010256,0.194861,11,6,297.0,239.0,2.2944326,-2.0714943,0.94740134
2957,B05,1,1,15,CellProcess_1_B05_01_id15.tiff,586,621,0.8516809999999999,0.955175,0.8965059999999999,0.27587399999999995,0.896705456128986,green,0.044825,0.8516809999999999,11,20,592.0,618.0,0.431105,1.4350759,0.6127536
2958,B05,1,1,16,CellProcess_1_B05_01_id16.tiff,643,153,0.95653,0.825937,0.869408,0.217352,0.8696004858538448,red,0.17406300000000002,0.95653,11,4,645.0,153.0,-0.37193617,2.0620122,0.8370401
2960,B05,1,1,18,CellProcess_1_B05_01_id18.tiff,858,146,0.321484,0.98308,0.338404,0.415399,0.3384793749772749,green,0.016919999999999998,0.321484,11,3,869.0,126.0,2.3501346,-0.7554467,1.9881003
2961,B05,1,1,19,CellProcess_1_B05_01_id19.tiff,68,363,0.992593,0.140726,0.148132,0.037033,0.14816555942309406,red,0.859274,0.992593,11,11,68.0,362.0,-3.8067746,-1.7808117,0.002873443
2947,B05,1,1,2,CellProcess_1_B05_01_id2.tiff,519,666,0.503811,0.973484,0.530327,0.367418,0.5304451596433293,green,0.026516,0.503811,11,22,527.0,661.0,-0.32005706,-0.82396215,1.4915891
2962,B05,1,1,21,CellProcess_1_B05_01_id21.tiff,338,729,0.367122,0.980678,0.386444,0.403389,0.3865300470049757,green,0.019322,0.367122,11,24,333.0,732.0,2.0225952,-0.48392284,1.281035
2963,B05,1,1,22,CellProcess_1_B05_01_id22.tiff,248,615,0.170801,0.99101,0.179791,0.4550520000000001,0.17983049273995802,green,0.00899,0.170801,11,19,245.0,613.0,3.4399655,-1.784627,0.9037245
2964,B05,1,1,23,CellProcess_1_B05_01_id23.tiff,547,873,0.95493,0.856333,0.901403,0.225351,0.9016033947871392,red,0.14366700000000002,0.95493,11,31,547.0,869.0,0.33862114,2.567979,0.88194996
2965,B05,1,1,24,CellProcess_1_B05_01_id24.tiff,506,827,0.956885,0.8191890000000001,0.8623049999999999,0.215576,0.8624957587265468,red,0.180811,0.956885,11,27,503.0,829.0,0.61749476,2.8760178,2.2430375
2966,B05,1,1,25,CellProcess_1_B05_01_id25.tiff,655,542,0.998405,0.0303,0.031895,0.007974,0.031901836762731235,red,0.9697,0.998405,11,14,655.0,541.0,-3.0254452,-4.099895,0.08703252
2967,B05,1,1,26,CellProcess_1_B05_01_id26.tiff,287,346,0.768058,0.959576,0.8084819999999999,0.297879,0.8086617027649261,green,0.040424,0.768058,11,10,281.0,341.0,0.5298142,3.228909,1.4850451
2968,B05,1,1,28,CellProcess_1_B05_01_id28.tiff,591,113,0.972304,0.526221,0.553917,0.138479,0.5540399027850599,red,0.473779,0.972304,11,2,589.0,112.0,-2.6646113,2.8686922,-0.12140591
2969,B05,1,1,32,CellProcess_1_B05_01_id32.tiff,451,719,0.5115310000000001,0.973077,0.538454,0.365387,0.5385733184940406,green,0.026923,0.5115310000000001,11,23,441.0,721.0,0.4317262,0.3017586,3.4413333
2970,B05,1,1,33,CellProcess_1_B05_01_id33.tiff,470,216,0.976001,0.455983,0.479982,0.119996,0.4800887268885232,red,0.544017,0.976001,11,5,469.0,216.0,-2.9287672,2.1140397,0.0796678
2971,B05,1,1,35,CellProcess_1_B05_01_id35.tiff,811,833,0.979379,0.391806,0.412428,0.103107,0.4125189683014258,red,0.608194,0.979379,11,28,809.0,832.0,-2.2720127,1.9844016,-0.66671807
2973,B05,1,1,37,CellProcess_1_B05_01_id37.tiff,803,611,0.93481,0.950799,0.98401,0.253997,0.98422914923658,green,0.049201,0.93481,11,18,804.0,609.0,-0.50625545,1.8025333,0.5940543
2975,B05,1,1,39,CellProcess_1_B05_01_id39.tiff,448,860,0.62247,0.967238,0.6552319999999999,0.336192,0.6553771611154867,green,0.032762,0.62247,11,29,450.0,849.0,0.9138036,1.0336267,0.85515445
2948,B05,1,1,4,CellProcess_1_B05_01_id4.tiff,266,805,0.387836,0.979588,0.408248,0.397938,0.40833908967650745,green,0.020412,0.387836,11,26,269.0,802.0,1.4630172,-1.2457255,0.74404746
2976,B05,1,1,40,CellProcess_1_B05_01_id40.tiff,191,345,0.988776,0.213251,0.224475,0.056119,0.22452461817503394,red,0.786749,0.988776,11,9,189.0,343.0,-4.099646,0.28699553,-0.59551054
